country,individuals_using_internet%,GDP_current_US,access_to_electricity%,government_expenditure_on_education%,trade_in_services%,CO2_emisions,renewvable_energy_consumption%,rule_of_law_estimate,goverment_effectiveness_estimate,political_stability_estimate,population_density,gini_index,human_capital_index,year,internet_electricity_interaction,internet_usage_group
Lesotho,0.0,0.878250862834133,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,62.9328722002635,46.5,0.39244267344474804,1994,0.0,False
Lesotho,0.0,1.00189400027846,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,63.7048418972332,46.5,0.39244267344474804,1995,0.0,False
Lesotho,0.00284594,0.946112456168268,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,64.3971673254282,46.5,0.39244267344474804,1996,0.07018443923633196,False
Lesotho,0.005584433,0.9980043309098701,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,64.9729578392622,46.5,0.39244267344474804,1997,0.1377191010906298,False
Lesotho,0.010956533,0.928460865117733,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,65.4031291172596,46.5,0.39244267344474804,1998,0.2702018048797114,False
Lesotho,0.05380446,0.912773656150185,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,65.6865283267457,46.5,0.39244267344474804,1999,1.3268852658572048,False
Lesotho,0.21180607,0.8872916453024661,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,65.8310276679842,46.5,0.39244267344474804,2000,5.223402548824386,False
Lesotho,0.261150063,0.8257069612386889,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,65.8587944664032,46.5,0.39244267344474804,2001,6.440287120665848,False
Lesotho,1.083943137,0.775777263090784,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,65.7949275362319,46.5,0.39244267344474804,2002,26.731393224880193,False
Lesotho,1.53249659,1.1578254092804798,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,65.6465744400527,46.5,0.39244267344474804,2003,37.79328229011888,True
Lesotho,2.175524339,1.51123665552047,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,65.3947299077734,46.5,0.39244267344474804,2004,53.65115068402944,True
Lesotho,2.580245484,1.68234343930976,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,65.1325428194993,46.5,0.39244267344474804,2005,63.63208022186622,True
Lesotho,2.754720101875,1.80009251944933,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,65.1113306982872,46.5,0.39244267344474804,2006,67.93484247845987,True
Lesotho,2.754720101875,1.6820253031603,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,65.3315217391304,46.5,0.39244267344474804,2007,67.93484247845987,True
Lesotho,2.754720101875,1.7668204224798,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,65.7119235836627,46.5,0.39244267344474804,2008,67.93484247845987,True
Lesotho,2.754720101875,1.7408358198008,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,66.178162055336,46.5,0.39244267344474804,2009,67.93484247845987,True
Lesotho,2.754720101875,2.23473197355119,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,66.625395256917,46.5,0.39244267344474804,2010,67.93484247845987,True
Lesotho,2.754720101875,2.57942168624912,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,67.1171607378129,46.5,0.39244267344474804,2011,67.93484247845987,True
Lesotho,2.754720101875,2.4777022528007797,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,67.6784584980237,46.5,0.39244267344474804,2012,67.93484247845987,True
Lesotho,2.754720101875,2.36711317000373,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,68.3115612648221,46.5,0.39244267344474804,2013,67.93484247845987,True
Lesotho,2.754720101875,2.4410631694792198,24.66125049591065,4.934684991836544,14.7059615664821,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,69.0132411067194,46.5,0.39244267344474804,2014,67.93484247845987,True
Lesotho,2.754720101875,2.35975408758169,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,69.7800065876153,46.5,0.39244267344474804,2015,67.93484247845987,True
Lesotho,2.754720101875,2.11442646865681,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,70.6150197628458,46.5,0.39244267344474804,2016,67.93484247845987,True
